problem_name,problem_origin_url,is_solved_problem
add_two_numbers,https://leetcode.com/problems/add-two-numbers/,True
best_time_to_buy_and_sell_stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,True
binary_search,https://leetcode.com/problems/binary-search/,True
boats_to_sove_people,https://leetcode.com/problems/boats-to-save-people/,True
find_minimum_in_rotated_sorted_array,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/,True
find_the_highest_altitude,https://leetcode.com/problems/find-the-highest-altitude/,True
guess_number_higher_or_lower,https://leetcode.com/problems/guess-number-higher-or-lower/,True
has_group_size_x,https://leetcode.com/problems/x-of-a-kind-in-a-deck-of-cards/,True
implement_magic_dictionary,https://leetcode.com/problems/implement-magic-dictionary/,True
kids_with_the_greatest_number_of_candies,https://leetcode.com/problems/kids-with-the-greatest-number-of-candies/,True
left_and_right_sum_difference,https://leetcode.com/problems/left-and-right-sum-differences/,True
length_of_last_word,https://leetcode.com/problems/length-of-last-word/,True
linked_list_cycle,https://leetcode.com/problems/linked-list-cycle/,True
longest_substring_without_repeating_characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,True
majority_element,https://leetcode.com/problems/majority-element/,True
median_of_two_sorted_arrays,https://leetcode.com/problems/median-of-two-sorted-arrays/,True
merge_k_sorted_lists,https://leetcode.com/problems/merge-k-sorted-lists/,True
merge_two_sorted_lists,https://leetcode.com/problems/merge-two-sorted-lists/,True
number_of_provinces,https://leetcode.com/problems/number-of-provinces/,True
power_of_two,https://leetcode.com/problems/power-of-two/,True
problem_two_sum,https://leetcode.com/problems/two-sum/,True
reverse_linked_list,https://leetcode.com/problems/reverse-linked-list/,True
roman_to_integer,https://leetcode.com/problems/roman-to-integer/,True
search_a_2d_matrix,https://leetcode.com/problems/search-a-2d-matrix/,True
search_in_rotated_sorted_array,https://leetcode.com/problems/search-in-rotated-sorted-array/,True
search_in_rotated_sorted_array_2,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,True
single_number,https://leetcode.com/problems/single-number/,True
spiral_matrix_problem,https://leetcode.com/problems/spiral-matrix/,True
symmetric_tree,https://leetcode.com/problems/symmetric-tree/,True
top_k_frequent_elements,https://leetcode.com/problems/top-k-frequent-elements/,True
top_k_frequent_words,https://leetcode.com/problems/top-k-frequent-words/,True
two_furthest_houses_with_different_colors,https://leetcode.com/problems/two-furthest-houses-with-different-colors/,True
uncommon_from_sentences,https://leetcode.com/problems/uncommon-words-from-two-sentences/,False
valid-parentheses,https://leetcode.com/problems/valid-parentheses/,True
valid_anagram,https://leetcode.com/problems/valid-anagram/,True
